Overall Rating,Comments,Feedback Category
Neutral,"I'd like to be able to sort by book format, ie, hard cover vs. paperback, as a first sort, and then filter down by author, category of interest or any other option.",
Neutral,Printing is very small making it difficult to read,
Very Satisfied,"So easy to place your order especially if you have the item numbers ready. However, I didn't see the box to order my free book and my order is above $50. Please contact me. Thank you.",
Satisfied,"Was not able to order desired item due to low quantities.  Daniel (Scholastic rep) checked and said Scholastic was out of ""Who Would Win?"" Ultimate Rumble 6 pack 40C1 and when I asked if I could pre-pay he checked and said it was doubtful there would be more coming in.",
Very Satisfied,We love the variety and cost of books offered.  We love being able to earn bonus points too!,
Very Disappointed,"Created an ewallet and added funds for book fair, clicked the link to print it and it gave me a blank page. No way to get back to the ewallet page after that and no mention of it in our account. Called and spoke to a rep that confirmed the ewallet was created and the funds from our scholastic gift card were applied, still nothing showing on the site under our account or any scholastic page I can find. Sent my 8 year old to school crying because he doesn’t think he will be able to buy anything without the paper with a barcode on it.",
Very Satisfied,I would like for you to bring back the dollar books.,
Neutral,Bouncing between parent purchases and purchases that support teachers.,
Neutral,I've loved Scholastic since I was a child and now I get the joy of sharing the love of reading with my child. You always have affordable prices so I know I can at the very least buy one or two books without breaking the bank! Thanks for all that you do!,
Satisfied,"Sometime I click on an email regarding information or a promotion, but once I sign in I cant find it,",
Satisfied,"AS an educator I am always happy with the ease of ordering . I am happy to see that the teacher incentives in technology have improved, since they were taken away last year.",
Disappointed,Was to get a free book for an order of 25 or more. Added the free book of choice but it is not showing up on the order.,
Neutral,"Also, I have always struggled with which site to go to. If I go directly to scholastics.com, I cannot find my way to this and it is very confusing. I do not like it.",
Very Satisfied,"Would like to see a bigger collection of popular books. But other than that, everything was great.",
Very Satisfied,Many of my students ordered books this month.  The deals were good!,
Neutral,"Bonus point display on order play is not obvious. I had to go to my account to see bonus points. On order page, it appears to me, I have no bonus points. On my teacher page, it indicates 466 bonus points. Confusing!",
Satisfied,Some of the codes of the books in the flyers did not match when entering the codes online. But looking at the titles I found the books.  I Will place my order tomorrow.,
Very Satisfied,I'm glad to be able to use Scholastic Book Clubs this year!,
Satisfied,unable to use promo codes that I could've used on scholastic's main website,
Satisfied,"I wish there was always an option for a $1 book. I would order one for each of my children every month, in addition to whatever they had picked out.",
Disappointed,"I have an order I am still waiting on. I placed the order on 8/28 and the status of my order still says acceptance pending.  My order number is ORDER #69779993.   I love Scholastic and so do my students, but the shipping issue is making me reconsider using this in the future.",
Neutral,I used live chat. The representative found I had a duplicate acct which was why I couldn't see the teacher stuff I needed.,
Satisfied,Too many pop-ups,
Satisfied,Choosing the $10 free books was too difficult. Unless you already know an item you want.,
Disappointed,Difficult to get through,
Satisfied,it is frustrating that i am unable to view pricing prior to connecting to a teacher,
Very Satisfied,Different times when placing an order I have tried to search for a specific book title and am unable to find it.  I have used both the title and a number that I have seen listed as being the specific book.  Without searching through all the titles how do I find it?  When doing my order tonight I was searching for the book titled … The Day I Forgot To Wash My Hands.  I again was unable to find it.,
Neutral,the site is a bit difficult to navigate,
Very Satisfied,I will place my order next week (2 week timeline for my students),
Very Satisfied,I think I get more excited than my child about book orders. Scholastic always has great choices and our home library is bursting at the seams!,
Neutral,"It has a pop-up that says to enter code READS for a free book with a $25 order, but when I enter that on the checkout page, it tells me the code has expired.",
Neutral,"I was looking forward to getting the Biscuit book collection, my son has one and loves them. These are hard to find in stores.",
Very Disappointed,WHY IS THE PLUSH UNICORN NOT AVAILABLE FOR SHIPPING TO THE HOME?????,
Very Satisfied,need an app this titles look pretty good,
Very Disappointed,I have been trying to order books all evening and they will not add to my cart for purchase. This is very frustrating as we were supposed to have through today (9/12) to order.  I would like to still place my order but do not know how to do so.,
Satisfied,Did not complete today because I need to call customer service to see if I can order more.  I want to give one to each of our 150 students,
Satisfied,"When I first tried to access the book, it would not load.  I logged back in",
Very Satisfied,SMA order,
Disappointed,the instructions we were given to order a book was NOT how it was presented on the site.  should not be that difficult to order a $2 book!,
Very Satisfied,I appreciate the $1 books so I can purchase books to give to my students each month.,
Satisfied,Hard to understand the free book up to $5. I wasn't sure if it would be be a discount of $5 for the total order (I was interested in a $7 book to put towards the $5 free) or if I had to choose a book that was $5 or under,
Satisfied,"Logging in was difficult, I had to use the live chat today for assistance and change my password",
Satisfied,Since parents submitted orders after I placed my initial order I didn't understand how the book points work- if I would still get bonus point. It looks like I do so I am pleased with that.,
Satisfied,I was trying to set up and edit my online letter and could not close out,
Neutral,"Great selection of books, website each to navigate.",
Neutral,Trying to pay with check and credit card.,
Neutral,I was confused on how to collect my free books. I tried to use 575 bonus and I have over 8000 but I was told I didn't have enough points.,
Satisfied,I absolutely love Scholastic Book Orders! Great selection and pretty good prices!,
Very Satisfied,Easy site to use.,
Very Satisfied,Easy to maneuver.,
Satisfied,Tried to complete on the mobile site but was unable to tap the 'Confirm & Apply' button after selecting the free book so had to switch to laptop/desktop view to complete the order,
Satisfied,Thank you for shipping faster!,
Neutral,"I received an email for the third time this month that says ACTION REQUIRED A student has ordered online and you must submit it now....  I notice when I submit each order I do not receive BONuS points. Each order has been over $20, but I just get 20 bonus points. Why don't you combine all of mine for each month and I can receive the EXTRA bonus points?  An order of $60 triples my amount of BPs! How can I get the maximum amount?",
Very Satisfied,Scholastic is a great company! My class loves to read. I'm hoping many of them will order books this year.,
Very Disappointed,"Every time I attempt to use this site I feel massively frustrated. As a parent, there are multiple sites you can (attempt to) order from, and I went through the whole process of filling up a cart before realizing it was the wrong site. It's really inefficient that I can't connect to a bookclub at checkout. I do this every school year first thing, and then I tend to give up ordering because it pisses me off so much.",
Neutral,It would be nice to be able to search under subject/interests and get more than like 8 choices.,
Neutral,I also hesitate to order from scholastic because the last few times it took like 3 months for the money to be processed and get my books. It's really irritating. I only tried again to help support our teacher.,
Satisfied,Didn’t realize you had to put the $5 book in after the READ code was applied,
Satisfied,When I tried to delete the third book down it deleted the first book,
Satisfied,why do we pay tax online but not directly to the school?,
Very Satisfied,Very convenient to order my daughters books through the site. It also ensures she is able to receive a copy of the books she has her heart set on this year!,
Very Satisfied,Very user friendly set up and i love that you can just put the codes in and dont have to try to find the numbers or books yourself.,
Neutral, The selection of books was not that great today. My son preferred books from amazon.,
Neutral,We had a hard time updating my childs teacher for the year but were able to figure it out.,
Neutral,Site flyers slow to load,
Very Satisfied,Thank you for the great program to get books in the hands of my students.,
Very Satisfied,"I have been ordering from Scholastic for many years now. Last year, the shipping delays were frustrating and made parents hesitant to place future orders.  I look forward to reasonable shipping times and ordering great books this year!",
Very Satisfied,Great site!!,
Neutral,"I wish I could have search results sorted into ""all"" instead of pages and pages I have to keep clicking next on. An endless scroll would be nice (the kind that refreshes and pops up more results until you get to the bottom of all of them). I love the search filters that let me choose a price range.",
Neutral,"I have been ordering from scholastic for the last 2 years. I always get confused by the many ""ways"" you can order. Book Club? As a Parent? For the school? I love Scholastic, please don't get me wrong, but I wish the site were a little more user friendly.",
Satisfied,It is harder to order for my own child when I also have a teacher account.,
Very Disappointed,"I was going to place an online order with my phone because I was traveling, but it never showed me how to ""pick a pack""",
Very Disappointed,it never showed me  my $10 to spend right now.  What's going on with that?,
Very Satisfied,I have used Scholastic as a teacher and a parent. I love the selection and good prices.,
Neutral,"While trying to look up the second book I was taken back to the first book I looked for and it was added a second time to my account.  I was unable to find the book I was looking for, only placed a small order through the website.  I will place the full order through the order form.",
Very Satisfied,"First year joining Scholastic book club and off to a great start, user friendly and affordable book deals.",
Very Satisfied,I love  Scholastic Book Clubs!,
Very Satisfied,When a parent orders online I get an email to go in and approve the purchase. Should I not do that until my due date so that my order is as big as it can be? It seems doing it as they come in separates out the order and makes my total less.,
Satisfied,I had to reset my password and login in a few times. I wished there was an option once you reset your password to login directly rather than having to log in again. And the drop-down menu was difficult to click as it disappeared once I tried to mouse over any item in the list.,
Satisfied,"I also wasn't sure if I was shopping for my child's class or not. I'm still not entirely sure when my purchase applies towards the teacher. (Do I have to go through the Book Club or can I just go through the regular shop?) With a bit more looking, I think I'll figure it out but it was a bit confusing at first glance!",
Satisfied,I did find the reading level filters unfamiliar as they seemed more for teachers than parents.,
Very Satisfied,I love Scholastic Books,
Satisfied,i like it,
